,0,1,2,3,4,5,6,7,8,val
295,X, , ,O, , ,X, ,O,0.36835860518254443
296,X, , , ,O, ,X, ,O,0.9397948489401436
297,X, , , , ,O,X, ,O,0.8940880710422991
298,X, , , , , ,X,O,O,0.9266970936562865
299,X,X,O, , , ,X, ,O,-0.5188261718749999
300,X, ,O,X, , ,X, ,O,0.9999999992423437
301,X, ,O, ,X, ,X, ,O,-0.942749254210594
302,X, ,O, , ,X,X, ,O,0.0
303,X, ,O, , , ,X,X,O,-0.892960600875318
304,X,X,O,O, , ,X, ,O,-0.203553962460137
305,X,X,O, ,O, ,X, ,O,0.9373584750137757
306,X,X,O, , ,O,X, ,O,-0.822021484375
307,X,X,O, , , ,X,O,O,-0.17233261857517468
308,X,X,O,X,O, ,X, ,O,0.9999998208122883
309,X,X,O, ,O,X,X, ,O,0.16979567110438612
310,X,X,O, ,O, ,X,X,O,-0.9232893947544687
311,X,X,O,O,O, ,X,X,O,0.0
312,X,X,O, ,O,O,X,X,O,-0.9999998992069122
313,X,X,O,O,O,X,X,X,O,0.0
314,X,X, ,O, , , , , ,0.7139921746604023
315,X, ,X,O, , , , , ,0.799969723476816
316,X, , ,O,X, , , , ,0.49257870640856705
317,X, , ,O, ,X, , , ,0.2273831641837035
318,X, , ,O, , ,X, , ,0.12172223625183105
319,X, , ,O, , , ,X, ,0.01971969825114945
320,X, , ,O, , , , ,X,0.05761108312338592
321,X,O, ,O, , ,X, , ,0.8247451401793441
322,X, ,O,O, , ,X, , ,0.8197100569626283
323,X, , ,O,O, ,X, , ,2.2996437618001664e-199
324,X, , ,O, ,O,X, , ,0.49544937525555094
325,X, , ,O, , ,X,O, ,0.674000646024016
326,X,X, ,O, ,O,X, , ,-0.2375
327,X, ,X,O, ,O,X, , ,-0.78092041015625
328,X, , ,O,X,O,X, , ,0.6938512574917306
329,X, , ,O, ,O,X,X, ,-0.41562499999999997
330,X, , ,O, ,O,X, ,X,-0.18183593750000002
331,X,O,X,O, ,O,X, , ,0.2887109375
332,X, ,X,O,O,O,X, , ,-0.9999982101439007
333,X, ,X,O, ,O,X,O, ,0.2375
